SA2_CODE_2021,Buddhism_P,Christianity_Tot_P,Other_Religions_Tot_P,Hinduism_P,Islam_P,Judaism_P,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_P,Total_P_Ex,Buddhism_Percent,Christian_Percent,Other_Religions_Percent,Hinduism_Percent,Islam_Percent,Judaism_P,No_Religion_Percent,,,Tot_P
507031261,118,3144,170,260,111,5,3690,1587,7497,1.573962919,41.93677471,2.267573696,3.468053888,1.480592237,1.480592237,49.21968788,,,9084
507041175,324,5606,130,217,224,24,4610,585,11140,2.908438061,50.32315978,1.166965889,1.947935368,2.010771993,2.010771993,41.38240575,,,11725
507041176,208,1912,29,112,70,6,1347,148,3684,5.646036916,51.90010858,0.787187839,3.040173724,1.900108578,1.900108578,36.56351792,,,3832
507041177,147,6647,72,58,62,10,6955,837,13941,1.054443727,47.67950649,0.516462234,0.416039022,0.444731368,0.444731368,49.88881716,,,14778
507041178,452,7390,174,221,248,21,6243,736,14740,3.066485753,50.13568521,1.18046133,1.499321574,1.682496608,1.682496608,42.3541384,,,15476
507041179,428,3507,56,393,200,3,3020,409,7621,5.616060884,46.01758299,0.734811705,5.156803569,2.624327516,2.624327516,39.62734549,,,8030
507041180,347,4952,139,204,123,13,4713,396,10487,3.308858587,47.22036807,1.325450558,1.945265567,1.172880709,1.172880709,44.94135596,,,10883
507041181,174,8966,78,92,119,4,7196,821,16631,1.046238951,53.91137033,0.469003668,0.553183813,0.715531237,0.715531237,43.26859479,,,17452
507041182,424,6063,108,261,262,10,4517,847,11642,3.641985913,52.07868064,0.927675657,2.241882838,2.250472427,2.250472427,38.7991754,,,12489
507041183,90,2017,29,25,78,4,2766,431,5016,1.794258373,40.21132376,0.57814992,0.498405104,1.555023923,1.555023923,55.14354067,,,5447
507041184,329,3250,68,171,59,4,1936,216,5804,5.66850448,55.99586492,1.171605789,2.94624397,1.016540317,1.016540317,33.356306,,,6020
507051186,93,3181,72,46,76,3,4293,738,7765,1.197681906,40.9658725,0.927237605,0.592401803,0.978750805,0.978750805,55.28654218,,,8503
507051187,88,5289,62,53,88,4,6915,990,12487,0.704732922,42.35605029,0.496516377,0.424441419,0.704732922,0.704732922,55.3775927,,,13477
507051188,232,6974,116,67,131,10,7059,1827,14584,1.590784421,47.81952825,0.795392211,0.45940757,0.898244652,0.898244652,48.40235875,,,16411
507051189,3,0,0,0,0,0,0,0,3,100,0,0,0,0,0,0,,,3
507051190,144,5060,62,30,34,0,5743,961,11078,1.299873623,45.67611482,0.55966781,0.270807005,0.306914606,0.306914606,51.84148763,,,12039
507051191,130,8427,88,67,111,4,12120,1233,20945,0.620673192,40.23394605,0.420148007,0.319885414,0.529959418,0.529959418,57.8658391,,,22178
507051192,153,5021,62,53,71,7,6204,970,11569,1.322499784,43.40046676,0.535914945,0.45812084,0.61370905,0.61370905,53.62606967,,,12539
507051193,110,4011,51,31,44,9,5738,758,9983,1.101873184,40.17830312,0.510868476,0.310527897,0.440749274,0.440749274,57.47771211,,,10741
507051312,103,4301,105,143,119,0,6000,877,10774,0.956005198,39.92017821,0.974568405,1.327269352,1.104510859,1.104510859,55.68962317,,,11651
507051313,180,10158,299,285,206,10,13334,1574,24472,0.735534488,41.50866296,1.221804511,1.164596273,0.841778359,0.841778359,54.48676038,,,26046
507051314,10,707,16,6,15,0,1206,140,1956,0.511247444,36.14519427,0.81799591,0.306748466,0.766871166,0.766871166,61.65644172,,,2096
509011225,168,6095,102,68,66,11,7245,1076,13752,1.221640489,44.32082606,0.741710297,0.494473531,0.479930192,0.479930192,52.68324607,,,14828
509011226,29,1288,19,3,5,4,1943,410,3297,0.879587504,39.06581741,0.576281468,0.090991811,0.151653018,0.151653018,58.93236275,,,3707
