Buddhism_P,Christianity_Tot_P,Other_Religions_Tot_P,Hinduism_P,Islam_P,Judaism_P,Tot_P,Christian_Percent,SA2_CODE_2021
158,7893,85,332,260,4,16375,48.20152672,111021217
100,10127,61,50,60,7,18129,55.86077555,111021218
121,6907,36,49,14,8,13961,49.47353341,111021219
71,4714,25,10,10,4,9467,49.79402134,111021220
44,3479,16,26,0,6,7254,47.95974635,111021221
151,7672,60,134,78,14,16600,46.21686747,111031222
68,4385,37,29,42,0,8561,51.22065179,111031223
154,5312,70,135,78,14,12772,41.59098027,111031224
169,8433,54,193,196,18,17343,48.6248054,111031225
142,8134,124,373,481,5,16429,49.51001278,111031226
223,6568,76,106,169,17,15526,42.30323329,111031227
110,6737,34,71,31,31,14506,46.44285123,111031228
158,4636,64,132,127,28,12805,36.20460758,111031229
0,11,0,0,0,0,31,35.48387097,111031230
235,4609,112,266,821,4,12593,36.59969825,111031231
60,4638,26,22,28,9,8824,52.56119674,111031232
182,10199,130,226,498,7,20958,48.66399466,111031233
156,5458,68,134,255,7,12883,42.36590856,111031234
88,2894,40,64,50,6,9171,31.55599171,111031235
189,9255,127,93,22,16,18629,49.68060551,112011236
185,8871,100,45,25,30,18327,48.40399411,112011237
102,1739,62,18,6,50,6958,24.99281403,112011238
194,2247,61,29,19,117,9170,24.50381679,112011239
235,2717,55,50,17,108,10914,24.89463075,112011240
38,2685,33,20,4,0,5643,47.5810739,112011241
117,3869,31,15,17,24,9236,41.89042876,112011242
220,1762,139,42,19,152,8896,19.80665468,112011243
48,6979,31,29,12,0,12298,56.74906489,112021244
38,3849,41,3,12,3,7381,52.1474055,112021245
102,6983,200,49,76,7,13591,51.37958943,112021246
91,3371,54,29,3,7,7611,44.29115754,112021247
224,6184,155,82,52,17,15229,40.60673715,112021248
215,6183,187,30,19,24,15786,39.16761688,112021249
139,7278,54,46,11,18,14818,49.11594007,112031250
93,4095,136,262,8,10,9501,43.10072624,112031251
130,3705,125,134,9,17,10352,35.79018547,112031252
143,5614,56,46,22,43,14086,39.85517535,112031253
228,9601,133,115,28,27,20563,46.69065798,112031254
127,8670,61,47,10,8,16320,53.125,112031550
28,1666,33,12,0,7,3324,50.12033694,112031551
90,4471,82,60,21,4,8423,53.08085005,112031552
144,12303,854,1300,664,5,20569,59.81331129,113011256
